song_stem,file_or_dir,type,ok,size_bytes,mtime
lyrics_136,sample01_struct_label.json,file,OK,47,2025-09-22 11:05:21
lyrics_136,sample01.wav,file,OK,4990130,2025-09-22 11:05:34
lyrics_136,chord/chord_txt,dir,OK,1 files,
lyrics_136,chord/chord_btc_txt,dir,OK,1 files,
lyrics_137,sample01.mid,file,OK,1720,2025-09-23 01:41:47
lyrics_137,sample01.json,file,OK,34,2025-09-23 01:41:47
lyrics_137,sample01.txt,file,OK,322,2025-09-23 01:41:45
lyrics_137,sample01_times.txt,file,OK,563,2025-09-23 01:41:47
lyrics_137,sample01_struct_time.json,file,OK,39,2025-09-23 01:41:48
lyrics_137,sample01_struct_label.json,file,OK,47,2025-09-23 01:41:48
lyrics_137,sample01.wav,file,OK,4752668,2025-09-23 01:42:03
lyrics_137,chord/chord_txt,dir,OK,1 files,
lyrics_137,chord/chord_btc_txt,dir,OK,1 files,
lyrics_138,sample01.mid,file,OK,1707,2025-09-22 11:07:48
lyrics_138,sample01.json,file,OK,34,2025-09-22 11:07:48
lyrics_138,sample01.txt,file,OK,320,2025-09-22 11:07:47
lyrics_138,sample01_times.txt,file,OK,561,2025-09-22 11:07:48
lyrics_138,sample01_struct_time.json,file,OK,39,2025-09-22 11:07:49
lyrics_138,sample01_struct_label.json,file,OK,47,2025-09-22 11:07:49
lyrics_138,sample01.wav,file,OK,5634668,2025-09-22 11:08:03
lyrics_138,chord/chord_txt,dir,OK,1 files,
lyrics_138,chord/chord_btc_txt,dir,OK,1 files,
lyrics_139,sample01.mid,file,OK,1709,2025-09-22 11:08:54
